t,class_label,O,R,I,demand,S,amplitude_uV,spectral_entropy,alpha_beta_ratio,gamma_power
423,E,1.0,0.0,0.06270094603659239,1.0,0.4422883579785533,259.85,0.2423,0.569,0.9051
424,E,0.6787345995257967,0.0,0.09629796683089306,0.9315930587621956,0.45051772322876227,184.99,0.2958,0.6271,0.7644
425,E,0.9462288947298081,0.13585790952203547,0.10676450859297296,1.0,0.4630880997349748,239.03,0.3891,0.6452,0.8388
426,E,0.9579107329363489,0.018254679460716672,0.11006060185506444,1.0,0.47584805408286324,241.39,0.3307,0.6509,0.902
427,E,0.8504972206134946,0.0,0.14776328267758423,0.8958441945334028,0.4868648562424601,219.69,0.272,0.7161,0.7404
428,E,0.4465828148280147,0.1936526475829918,0.005279531839104403,0.8994190809562823,0.49132676353732907,138.09,0.4178,0.4697,0.7428
429,E,0.942516446147221,0.0877291903702287,0.11324104272199476,0.8583078870931706,0.5038368928480937,238.28,0.3652,0.6564,0.7152
430,E,0.9783539497977954,0.015234048551607454,0.11578539541553909,0.9834289118939453,0.5169286084189152,245.52,0.3292,0.6608,0.7992
431,E,0.691554921964331,0.23211534782564916,0.005221705641523858,1.0,0.5253660273174041,187.58,0.4369,0.4696,0.8146
432,E,0.9494958494824848,0.353343334977899,0.03234219230680266,0.8685856855589483,0.5379894213556108,239.69,0.4971,0.5165,0.7221
433,E,0.8729204100523209,0.008185909763685944,0.12110540559294986,0.7175467341922992,0.5493701165757128,224.22,0.3257,0.67,0.6207
434,E,0.6681417462368147,0.0,0.134116300048574,1.0,0.5574275764949104,182.85,0.2646,0.6925,0.8868
435,E,0.8560906431445925,0.02993445230927236,0.057785719242245515,1.0,0.5685351510956487,220.82,0.3365,0.5605,0.843
436,E,0.6931883993406692,0.09558283073391258,0.136313695556635,0.9698741342071946,0.5769990787601347,187.91,0.3691,0.6963,0.7901
437,E,0.9143018369195588,0.21842182103768734,0.0,0.9908765919416103,0.5890513293854955,232.58,0.4301,0.1445,0.8042
438,E,0.7472911500175724,0.0,0.09606666204057088,1.0,0.5983932595116417,198.84,0.2035,0.6267,0.8599
439,E,0.8495567336392392,0.21056818067400346,0.191537714246062,1.0,0.6093947990483919,219.5,0.4262,0.7918,0.8552
440,E,1.0,0.17673711449198018,0.05824832882288994,0.7191852238027856,0.6261077727135996,290.6,0.4094,0.5613,0.6218
441,E,0.8280740311746684,0.0,0.23999606781856453,0.8891412824905043,0.6367606818126914,215.16,0.2825,0.8756,0.7359
442,E,0.9011845185944176,0.1459266792190662,0.055472671339023435,1.0,0.6486000590141365,229.93,0.3941,0.5565,0.8856
443,E,0.7534785643218842,0.08853469194599106,0.0,0.752848737618232,0.6580424011326959,200.09,0.3656,0.4386,0.6444
444,E,0.7556565341570021,0.05107886867303678,0.014473897254412135,0.8276234452967902,0.6675200882725846,200.53,0.347,0.4856,0.6946
445,E,0.5983477128841767,0.04382935449117468,0.0,1.0,0.6744449009173623,168.75,0.3434,0.3243,0.8108
446,E,0.893116130341595,0.0,0.024882612818911517,0.8204736724510315,0.6861533408807007,228.3,0.2334,0.5036,0.6898
447,E,0.9399919811110617,0.27299455279559387,0.0,0.923847471512624,0.6986225020985608,237.77,0.4572,0.2687,0.7592
448,E,0.8450522960257002,0.1652587170373652,0.07021835172206414,0.8204736724510315,0.7095509417048341,218.59,0.4037,0.582,0.6898
449,E,0.8136202313597958,0.0,0.14504545139129832,0.9126759514411262,0.7199692883896488,212.24,0.2863,0.7114,0.7517
450,E,1.0,0.04725273618816519,0.0,0.7297609294704701,0.7375217063114303,301.05,0.3451,0.4437,0.6289
451,E,0.5197428015621984,0.0,0.07490227372608885,0.9707678558129142,0.7431708850045918,152.87,0.2233,0.5901,0.7907
452,E,0.5636981927800301,0.2013049125527351,0.009789975250387434,0.9275713115364566,0.7495333904918563,161.75,0.4216,0.4775,0.7617
453,E,1.0,0.2015062879466758,0.028410010871325178,0.803939822745215,0.7661571983078013,289.49,0.4217,0.5097,0.6787
454,E,0.4507407572405123,0.0,0.033383063863252606,0.7924703954718106,0.770686582461572,138.93,0.2925,0.5183,0.671
455,E,0.8507942165001016,0.06940402952163278,0.032226539911641566,0.8326878677292023,0.7817082043968047,219.75,0.3561,0.5163,0.698
456,E,0.9101933938214957,0.1284070199462328,0.0,1.0,0.7936937814592032,231.75,0.3854,0.3864,0.8629
457,E,0.8572786266910205,0.06014076140036443,0.11312539032683368,0.9379980636031879,0.8048206351624848,221.06,0.3515,0.6562,0.7687
458,E,1.0,0.10343647109759656,0.0,0.9531913309004247,0.8193269548824221,263.13,0.373,0.4581,0.7789
459,E,0.6503219930403965,0.07463978976408875,0.04882265861725999,0.8854174424666718,0.82709522826347,179.25,0.3587,0.545,0.7334
460,E,0.8513387089588811,0.0,0.004123007887493364,0.9211663066954645,0.8381256864540351,219.86,0.1995,0.4677,0.7574
461,E,0.9084114185018538,0.0,0.1615259177017556,0.806918894764281,0.8500823448626187,231.39,0.2678,0.7399,0.6807
462,E,1.0,0.12599051521894536,0.0,1.0,0.8646408788186108,263.78,0.3842,0.4531,0.892
463,E,0.6404221301534975,0.2051310450376068,0.13851109106469592,0.8303046101139497,0.8722484930117977,177.25,0.4235,0.7001,0.6964
464,E,1.0,0.016845051703132417,0.07675271204866656,0.9411260892232073,0.8881662036970936,280.7,0.33,0.5933,0.7708
465,E,0.8502002247268876,0.18781276115871398,0.12052714361714434,0.701757652491249,0.8991781860810547,219.63,0.4149,0.669,0.6101
466,E,1.0,0.0,0.1412867485485624,1.0,0.9148123332997762,277.17,0.217,0.7049,0.8401
467,E,0.660766348386075,0.0,0.0,0.884523720860952,0.9227501021240173,181.36,0.3171,0.3841,0.7328
468,E,0.8157982011949136,0.1827783763101986,0.16534244674207205,1.0,0.9332037938301615,212.68,0.4124,0.7465,0.8617
469,E,0.765457398415032,0.02349043970317263,0.0,0.8140686676100395,0.9428405335660327,202.51,0.3333,0.2975,0.6855
470,E,1.0,0.3172971394625291,0.0,0.8395397333730545,0.957383804899178,263.59,0.4792,0.3648,0.7026
471,E,0.871534429248155,0.1022282187339529,0.0,0.9606390109480898,0.9687420078329795,223.94,0.3724,0.4286,0.7839
472,E,0.7829801557248434,0.05470362576396788,0.09907362431475956,0.9108885082296864,0.9786631143313644,206.05,0.3488,0.6319,0.7505
473,E,0.7903555535755831,0.0393990958244812,0.04402308421807414,0.8660534743427425,0.9887039119247059,207.54,0.3412,0.5367,0.7204
474,E,0.8255495661385092,0.31467925934130103,0.1003458006615317,0.8749906903999407,0.9993158529308931,214.65,0.4779,0.6341,0.7264
475,E,1.0,0.003352900309111173,0.15348807623805888,0.9542340061070977,1.0,252.88,0.3233,0.726,0.7796
476,E,0.8555461506858132,0.12921252152199517,0.0,0.7759365457659941,1.0,220.71,0.3858,0.3144,0.6599
477,E,0.640372630839063,0.08007692540048529,0.2020042560081419,1.0,1.0,177.24,0.3614,0.8099,0.9285
478,E,1.0,0.13787166346144164,0.0,0.8454978774111866,1.0,250.52,0.3901,0.2798,0.7066
479,E,0.7208090167951176,0.0,0.03714176670598852,0.8538392790645717,1.0,193.49,0.3003,0.5248,0.7122
480,E,0.48489528420031397,0.17754261606774266,0.0,0.938593878007001,1.0,145.83,0.4098,0.3891,0.7691
481,E,1.0,0.0,0.0,0.8760333656066137,1.0,307.96,0.2764,0.1705,0.7271
482,E,1.0,0.37267537279619806,0.0,0.9692783198033814,1.0,269.04,0.5067,0.3656,0.7897
483,E,0.784663132415616,0.04000322200630309,0.2811104942983369,0.7311015118790498,1.0,206.39,0.3415,0.9467,0.6298
484,E,0.9270231607292241,0.13243452782504508,0.14591284435500657,0.9217621210992777,1.0,235.15,0.3874,0.7129,0.7578
485,E,0.9377645119615095,0.0,0.07507575231883054,0.8691814999627618,1.0,237.32,0.3187,0.5904,0.7225
486,E,0.9998366522623664,0.0,0.08444359632687995,0.906717807402994,1.0,249.86,0.3204,0.6066,0.7477
487,E,1.0,0.048863739339690036,0.0,1.0,1.0,270.04,0.3459,0.284,0.851
488,E,0.6974453403820359,0.0,7.517405685472844e-05,1.0,1.0,188.77,0.2977,0.4607,0.86
489,E,0.4539087133643199,0.5625723692821973,0.14331066546388177,0.9368064347955612,1.0,139.57,0.601,0.7084,0.7679
490,E,0.8658915074026227,0.10303372030971537,0.09693405500427912,0.9870037983168245,1.0,222.8,0.3728,0.6282,0.8016
491,E,0.9867688332516596,0.07161915885497953,0.03459741401244419,0.8921203545095703,1.0,247.22,0.3572,0.5204,0.7379
492,E,0.8381718913193053,0.23976761279539247,0.10317928434297875,0.5598048707827513,1.0,217.2,0.4407,0.639,0.5148
493,E,1.0,0.08853469194599106,0.05009483496403212,0.8638191703284429,1.0,251.24,0.3656,0.5472,0.7189
494,E,1.0,0.20976267909824098,0.0,0.9587026141356967,1.0,269.96,0.4258,0.4341,0.7826
495,E,0.6843775213713291,0.0,0.0,1.0,1.0,186.13,0.2396,0.456,0.819
496,E,1.0,0.13968404200690718,0.11462887146392804,0.9716615774186343,1.0,263.13,0.391,0.6588,0.7913
497,E,0.7497661157392971,0.12679601679470784,0.1211632317905304,0.9999627615997617,1.0,199.34,0.3846,0.6701,0.8103
498,E,1.0,0.17129997885558362,0.08218837462123842,1.0,1.0,272.56,0.4067,0.6027,0.8356
499,E,0.871534429248155,0.0,0.03754655008905233,0.8213673940567515,1.0,223.94,0.2795,0.5255,0.6904
